Day,Theme,Pillar,Product Name,Product Code,Price (PKR),Format,Hook,URL
1,"VIP New Arrival Drop","New Arrivals","OLIYA Diamond Emerald-Cut Luxury","TTS-WW-067",5800,"Instagram Reel / TikTok (15s) + Feed Carousel + WhatsApp Status","Stop scrolling if you’re looking for the most elegant luxury piece for your next event ✨","https://thetrendseller.com/watches/women-watches/oliya-emerald-cut-diamond-luxury"
2,"The Minimalist All-Black Statement","Styling & Daily Wear","Black Arabic Aura","TTS-PW-005",2100,"Reel / Quick Cut (12s) + Story Poll","A 44-gram featherweight all-black watch with Arabic numerals? Yes, it exists.","https://thetrendseller.com/watches/premium-watches/arabic-aura"
3,"Executive Office Styling","Styling & Use-Case","Rolex Daytona Black-Dial Chronograph","TTS-PW-002",4899,"3-Slide Carousel (Outfit Breakdown) + Reel","How to level up your formal office presence without spending a fortune 👔","https://thetrendseller.com/watches/premium-watches/rolex-daytona-leather"
4,"Real Verified Customer Proof","Social Proof","SKMEI Royal Square Titanium","TTS-PW-001",6899,"Unboxing Reel + Customer Review Overlay Carousel","“Heads turn every single time I wear this to meetings” — Here’s what real customers are saying 🔥","https://thetrendseller.com/watches/premium-watches/royal-square-titanium"
5,"Couples & Anniversary Special","Offers & Combos","""Timeless Together"" Couple Combo (2 Watches)","TTS-PW-038",3700,"Romantic Lifestyle Reel / Photo Duo + Story Highlight","Looking for the ultimate anniversary or wedding gift? We made it effortless ❤️","https://thetrendseller.com/watches/premium-watches/timeless-together-couple-combo"
6,"Old Money Aesthetic / Vintage Luxury","Styling & Use-Case","Cartier A-Grade Tank Roman Dial","TTS-SW-056",3999,"Cinematic Aesthetic Reel (15s) + Moodboard Carousel","How to master the ‘Quiet Luxury’ aesthetic with one single accessory 🕯️","https://thetrendseller.com/watches/stylish-watches/cartier-a-grade-tank-leather"
7,"The 2-in-1 Smart Wardrobe Hack","Accessories & Functionality","Hermès H-Buckle Reversible Leather Belt (Black & Tan)","TTS-BT-001",2499,"Demonstration Reel (10s) — 'Watch this twist!'","Why buy 2 belts when 1 belt does both? Watch this mechanism 🔄","https://thetrendseller.com/belts/hermes-h-buckle-reversible-black-tan"
8,"70s Integrated Sports Watch Hype","New Arrivals / Trending","Tissot PRX Powermatic 80","TTS-CW-039",3499,"Macro Wrist Roll Reel + Sunlight Lighting Test","There’s a reason why the PRX waffle dial is the #1 trending watch in the world right now 🧊","https://thetrendseller.com/watches/casual-watches/tissot-prx-powermatic-80"
9,"Front Pocket Minimalism","Everyday Carry (EDC)","Brown Leather Card Holder","TTS-WL-021",1799,"Flat Lay Reel / Photo + Wallet Slimness Comparison","Stop carrying that bulky, fat wallet in your back pocket. Try this instead 💳","https://thetrendseller.com/wallets/brown-leather-card-holder"
10,"Royal Blue & Gold Luxury","Social Proof & High Luxury","Rolex Datejust Two-Tone Royal Blue Diamond","TTS-PW-062",4799,"Close-up macro video (10s) with upbeat audio","Under room lights it looks dark navy. Under the sun? Pure electric royal blue 💎","https://thetrendseller.com/watches/premium-watches/rolex-datejust-twotone-royal-blue-diamond"
11,"Dainty Vintage Wine Aesthetic","Styling & Womenswear","IEKE Vintage Tank Burgundy & Gold","TTS-WW-066",3299,"Soft Aesthetic Reel with Lo-Fi music + Carousel","The vintage burgundy watch every aesthetic moodboard is raving about 🍷","https://thetrendseller.com/watches/women-watches/ieke-vintage-tank-burgundy-gold"
12,"Full Bling & Party Stunner","Urgency / Special Occasion","Iced-Out Skeleton Chronograph Diamond Edition","TTS-PW-063",4999,"Flashy Night-Time Video Reel (15s)","If you want to enter the wedding hall and have everyone ask what’s on your wrist 💎🔥","https://thetrendseller.com/watches/premium-watches/iced-out-skeleton-chronograph-diamond"
13,"Ceramic Masterpiece / Scratch-Proof","Product Feature Deep-Dive","Rado True Square Automatic Black Ceramic","TTS-PW-057",4999,"Coin Scratch Test Video (8s) + Macro Specs Carousel","We took a metal key to this high-tech ceramic watch. Here’s what happened 🔑","https://thetrendseller.com/watches/premium-watches/rado-true-square-automatic-black-ceramic"
14,"World Traveler Globe Aesthetic","Product Spotlight","Omega Seamaster Aqua Terra Worldtimer","TTS-PW-061",4999,"High-Production Wrist Macro Reel (12s)","The world’s most intricate laser-etched dial, right on your wrist 🌍","https://thetrendseller.com/watches/premium-watches/omega-seamaster-aqua-terra-worldtimer"
15,"The Ultimate VIP Catalog Recap & Limited Stock Alert","Recap & Urgency","Trend Seller Best-Sellers Collection (Watches, Belts, Wallets)","TTS-CATALOG-2026",2100,"Fast-Paced 15s Mashup Reel (All Best-Sellers) + Story Q&A","Which one are you wearing this weekend? Vote 1, 2, 3, or 4 in the comments! 👇","https://thetrendseller.com"
